,importance
INSTALLMENTS_EARLY_sum_LONG_TERM,0.08110525388576437
PREV_APP_REFUSED_RATIO_APPLICATION_TO_ANNUITY_MEAN,0.0808367886201001
CREDIT_CARD_CNT_DRAWINGS_CURRENT_sum,0.08073639925810719
true_annuity_div_income,0.0803571741240734
EXT_SOURCE_1,0.08032854446727065
INSTALLMENTS_PAYMENT_LAST_365_DAYS_std,0.08005376916081094
INSTALLMENTS_LAST_180_DAYS_sum_LONG_TERM,0.07971904292935982
PREV_APP_APPROVED_AMT_GOODS_PRICE_MAX,0.07943610620712248
PREV_APP_PREV_GOODS_PRICE_RATIO_MEAN,0.07870714106439512
INSTALLMENTS_LATE_max,0.07861331605431304
POS_CASH_GENERAL_COUNT_SK_DPD_sum,0.07855922832183726
POS_CASH_GENERAL_COUNT_SK_DPD_mean,0.0784656011334677
children_ratio,0.07766315407019776
CREDIT_CARD_6_MONTH_AMT_INST_MIN_REGULARITY_mean,0.07739659555145369
PREV_APP_PREV_AMT_DOWN_PAYMENT_MAX,0.07737183007532922
PREV_APP_APPROVED_AMT_GOODS_PRICE_MEAN,0.07662540416894816
CREDIT_CARD_AMT_DRAWINGS_CURRENT_mean,0.07662427491559291
BUREAU_CLOSE_LAST_180_DAYS,0.07656481851975226
PREV_APP_APPROVED_ACTUAL_DURATION_STD,0.07647966587583375
CREDIT_CARD_6_MONTH_FLAG_UTILIZATION_LESS_50_mean,0.0763895156033081
COMMONAREA_MEDI,0.07623757114672232
BUREAU_ACTIVE_LAST_1000_DAYS,0.07601742082342612
LIVINGAREA_MEDI,0.07582184473266962
PREV_APP_REFUSED_CNT_PAYMENT_MEAN,0.07559835134527165
PREV_APP_PREV_AMT_GOODS_PRICE_SUM,0.07550561941820917
CREDIT_CARD_12_MONTH_FLAG_UTILIZATION_LESS_50_sum,0.07548467207974531
INSTALLMENTS_PAYMENT_LAST_90_DAYS_sum,0.07507586818457632
income_ratio2,0.07503024429525408
PREV_APP_PREV_NAME_PAYMENT_TYPE_XNA_MEAN,0.07443040654986538
BUREAU_GENERAL_AVG_PAST_LOAN_PER_TYPE,0.07440462502371731
credit_to_annuity_ratio,0.0742721789334924
INSTALLMENTS_EARLYNESS_LAST_180_DAYS_sum,0.07416320734207628
INSTALLMENTS_PAYMENT_EARLYNESS_LAST_180_DAYS_sum,0.07416320734207628
BUREAU_GENERAL_AMT_CREDIT_MAX_OVERDUE_sum,0.07373669132406814
CREDIT_CARD_RAPID_ACCOUNT_TURNOVER_mean,0.07286170010023987
PREV_APP_PREV_NAME_PORTFOLIO_XNA_MEAN,0.07243570461775362
phone_to_birth_ratio,0.07242894976560743
PREV_APP_APPROVED_AMT_ANNUITY_MEAN,0.07216930248689186
PREV_APP_REFUSED_ANNUITY_PAYMENT_PRODUCT_SUM,0.07213452662373057
BUREAU_GENERAL_AMT_CREDIT_SUM_mean,0.07200878214509973
ORGANIZATION_TYPE_Self-employed,0.07191357498765003
FLOORSMAX_AVG,0.07184039683403065
INSTALLMENTS_PAYMENT_LATENESS_LAST_180_DAYS_mean,0.07163158114979432
INSTALLMENTS_LATENESS_LAST_180_DAYS_mean,0.07163158114979432
PREV_APP_PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,0.07156857791526454
BUREAU_GENERAL_AMT_CREDIT_SUM_DEBT_mean,0.07146574053504115
PREV_APP_APPROVED_APP_CREDIT_PERC_MEAN,0.07104359471101307
PREV_APP_APPROVED_AMT_DOWN_PAYMENT_MEAN,0.07099520195382558
NAME_INCOME_TYPE_Commercial associate,0.07093901058383528
CREDIT_CARD_SUM_ALL_CNT_DRAWINGS_sum,0.07042298815680456
INSTALLMENTS_DIFF_max,0.07015435532837894
income_ratio,0.07004315166950277
BUREAU_Ratio C,0.06958272101367144
PREV_APP_PREV_WEEKDAY_APPR_PROCESS_START_WEEK_DAY_SUM,0.06952830390241004
PREV_APP_REFUSED_CREDIT_ANNUITY_RATIO_MEAN,0.06947682683930698
BUREAU_GENERAL_AMT_CREDIT_SUM_sum,0.06915271307279244
PREV_APP_PREV_AMT_APPLICATION_MAX,0.0689916841396994
PREV_APP_APPROVED_Insuranced_amt_application_SUM,0.0688193550598635
INSTALLMENTS_PAYMENT_LATENESS_LAST_365_DAYS_std,0.06859683672446672
CREDIT_CARD_CNT_DRAWINGS_ATM_CURRENT_mean,0.0684432174858794
PREV_APP_PREV_AMT_DOWN_PAYMENT_MIN,0.06839369380888205
credit_per_non_child,0.06825089004776028
DEBT_BURDEN_PER_LIFE_DAY,0.0682440991001834
income_credit_percentage,0.0681672376779777
NAME_FAMILY_STATUS_Civil marriage,0.06693329989320145
